date,problem,detail,what_i_did
2019-10-22,missing day,no row published for this date,"left as a gap, not interpolated"
2020-04-26,missing day,no row published for this date,"left as a gap, not interpolated"
2020-05-12,missing day,no row published for this date,"left as a gap, not interpolated"
2020-06-23,missing day,no row published for this date,"left as a gap, not interpolated"
2020-06-30,missing day,no row published for this date,"left as a gap, not interpolated"
2020-07-01,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-02,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-03,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-04,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-05,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-11,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-12,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-20,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-24,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-25,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-26,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-27,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-28,missing day,no row published for this date,"left as a gap, not interpolated"
2020-08-29,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-02,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-03,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-04,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-11,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-12,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-13,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-14,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-17,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-18,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-19,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-20,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-21,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-22,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-23,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-27,missing day,no row published for this date,"left as a gap, not interpolated"
2020-09-28,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-02,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-08,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-13,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-14,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-19,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-20,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-22,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-29,missing day,no row published for this date,"left as a gap, not interpolated"
2020-10-30,missing day,no row published for this date,"left as a gap, not interpolated"
2020-11-01,missing day,no row published for this date,"left as a gap, not interpolated"
2020-11-08,missing day,no row published for this date,"left as a gap, not interpolated"
2020-11-21,missing day,no row published for this date,"left as a gap, not interpolated"
2020-11-23,missing day,no row published for this date,"left as a gap, not interpolated"
2020-12-08,missing day,no row published for this date,"left as a gap, not interpolated"
2020-12-09,missing day,no row published for this date,"left as a gap, not interpolated"
2020-12-10,missing day,no row published for this date,"left as a gap, not interpolated"
2021-02-02,missing day,no row published for this date,"left as a gap, not interpolated"
2021-03-15,missing day,no row published for this date,"left as a gap, not interpolated"
2021-04-15,missing day,no row published for this date,"left as a gap, not interpolated"
2021-04-16,missing day,no row published for this date,"left as a gap, not interpolated"
2021-04-22,missing day,no row published for this date,"left as a gap, not interpolated"
2021-05-31,missing day,no row published for this date,"left as a gap, not interpolated"
2021-06-01,missing day,no row published for this date,"left as a gap, not interpolated"
2021-06-02,missing day,no row published for this date,"left as a gap, not interpolated"
2021-06-03,missing day,no row published for this date,"left as a gap, not interpolated"
2021-07-10,missing day,no row published for this date,"left as a gap, not interpolated"
2021-09-05,missing day,no row published for this date,"left as a gap, not interpolated"
2021-09-23,missing day,no row published for this date,"left as a gap, not interpolated"
2021-10-15,missing day,no row published for this date,"left as a gap, not interpolated"
2022-04-22,missing day,no row published for this date,"left as a gap, not interpolated"
2022-06-14,missing day,no row published for this date,"left as a gap, not interpolated"
2022-11-30,missing day,no row published for this date,"left as a gap, not interpolated"
2022-12-02,missing day,no row published for this date,"left as a gap, not interpolated"
2023-03-30,missing day,no row published for this date,"left as a gap, not interpolated"
