date,actual,yesterday,last_week,trailing_7day,calendar_only,calendar_plus_lags,plus_temperature,sarimax
2024-04-14,287.4,301.3,316.3,316.9428571428571,243.69071013561262,282.7335161261805,283.00598566438333,278.5664377471767
2024-04-15,311.2,287.4,331.7,312.8142857142857,258.8241917066181,297.4966277911228,298.5496648358397,295.56403847476986
2024-04-16,324.1,311.2,312.9,309.88571428571424,261.1303644434902,310.92229722351567,311.7171456548955,299.00197272003516
2024-04-17,328.3,324.1,320.2,311.4857142857143,257.3218929944163,317.5735544865474,319.3360768134706,301.49020927550396
2024-04-18,316.7,328.3,319.4,312.6428571428572,261.74491686449636,325.8835810827924,327.6855659026241,302.6888864549407
2024-04-19,298.6,316.7,316.8,312.2571428571428,262.4484067149392,314.77469723892654,317.4902723304243,303.3853794876919
2024-04-20,276.0,298.6,301.3,309.65714285714284,259.21880907984826,291.8574212255188,294.52466235485247,298.63817471060315
2024-04-21,272.6,276.0,287.4,306.04285714285714,243.82429937938852,255.99233151002926,259.53996439554413,279.51962714062046
2024-04-22,295.2,272.6,311.2,303.92857142857144,258.95778095039395,281.8835395515049,285.56557613638216,296.56950137482136
2024-04-23,307.8,295.2,324.1,301.6428571428572,261.26395368726605,297.3243338612389,299.93721136521293,300.01801008566196
2024-04-24,313.5,307.8,328.3,299.3142857142857,261.86581762874454,309.0882631771077,310.6014837345534,302.51390024886484
2024-04-25,322.6,313.5,316.7,297.2,261.87850610827223,313.1948965319341,315.1403685672915,303.7162650949706
2024-04-26,304.7,322.6,298.6,298.04285714285714,262.58199595871514,321.1014782386061,322.2418506454882,304.41490123405305
2024-04-27,319.4,304.7,276.0,298.9142857142857,259.35239832362413,297.08118835269613,299.86917648940334,299.65309892478143
2024-04-28,309.9,319.4,272.6,305.11428571428576,248.3682240137167,303.39648536105426,306.39346914631795,280.47575896784804
